starting frequency (kHz),final frequency (kHz),minimum frequency (kHz),maximum frequency (kHz),mean frequency (kHz),frequency bandwidth (kHz),syllable duration (msec),total syllable energy (dB),peak syllable amplitude (dB),Clean 
67.38,63.48,65.19,68.85,60.52,3.66,20.8,-0.42,-9.24,1
64.94,80.32,56.64,89.6,69.78,32.96,49.6,25.71,10.64,1
65.43,81.05,57.13,90.82,70.3,33.69,73.6,11.17,-2.46,1
80.08,72.75,73,83.74,78.1,10.74,30.4,20.16,6.27,1
39.31,41.02,34.67,106.93,71.27,72.27,19.2,30.07,12.74,0
68.12,82.76,61.77,98.14,73.39,36.38,38.4,32.07,20.68,1
60.55,82.76,58.11,103.27,75.1,45.17,84.8,20.47,3.82,1
48.1,48.58,36.38,92.04,68.87,55.66,46.4,15.53,-5.49,0
74.46,72.02,72.02,77.39,74.43,5.37,27.2,9.68,-0.47,1
63.23,59.81,60.3,65.67,61.12,5.37,27.2,12.15,-0.51,1
63.48,60.06,61.28,65.19,58.03,3.91,27.2,3.39,-9.34,1
76.66,72.27,72.75,84.72,78.25,11.96,30.4,24.48,12.2,1
97.17,103.03,97.17,104.49,103.59,7.32,28.8,7.13,-7.13,1
65.19,66.89,65.19,68.12,53.37,2.93,12.8,1.43,-6.13,1
75.2,71.53,71.78,77.88,75,6.1,40,18.74,5.99,1
35.16,36.38,35.16,89.11,58.64,53.96,179.2,15.85,-6.79,0
36.38,37.35,36.38,72.75,50.9,36.38,16,8.69,-9.15,0
43.95,58.35,41.26,70.31,60.43,29.05,43.2,39.46,27.22,1
73.97,71.78,71.78,76.17,73.76,4.39,28.8,13.22,2.62,1
88.13,41.75,85.69,103.52,85.71,17.82,46.4,2.4,-11.44,1
81.05,81.05,81.05,86.91,83.5,5.86,24,16.32,3.3,1
34.91,36.13,34.67,53.47,39.1,18.8,120,10.36,-9.37,0
36.38,44.92,36.38,105.22,69.93,68.85,164.8,27.42,5.04,0
64.21,58.35,40.04,71.78,60.25,31.74,27.2,42.28,30.15,1
77.39,60.55,60.79,80.81,74.39,20.02,40,33.57,18.63,1
85.94,68.6,68.6,88.13,75.15,19.53,36.8,13.48,0.4,1
70.56,69.34,69.58,73.49,68.53,3.91,19.2,2.34,-9.59,1
73.49,74.46,40.53,82.28,72.08,41.75,46.4,11.58,-6.43,0
36.87,81.54,36.87,83.25,49.88,46.39,32,0.94,-16.42,0
36.87,34.67,36.87,67.87,47.65,31.01,46.4,14.58,-7.62,0
37.84,44.43,37.84,97.41,70.41,59.57,27.2,8.74,-9.27,0
82.76,82.76,41.02,108.89,75.15,67.87,44.8,30.82,8.78,0
73.97,70.56,71.04,77.64,73.23,6.59,28.8,18.51,6.24,1
79.35,72.51,73.97,81.54,75.19,7.57,20.8,11.34,0.09,1
80.32,72.27,72.75,83.5,78.3,10.74,35.2,17.67,3.93,1
84.23,83.25,83.5,89.36,85.74,5.86,25.6,12.09,-1.41,1
37.84,73.24,37.84,76.9,65.87,39.06,64,13.26,-1.05,0
35.16,34.67,34.91,88.38,50.87,53.47,54.4,7.32,-11.16,0
70.07,69.34,69.34,77.64,73.3,8.3,54.4,28.88,11.2,1
35.64,69.82,35.64,79.1,58.88,43.46,48,8.22,-13.15,0
51.76,41.26,42.48,78.61,53.34,36.13,70.4,7.54,-11.41,0
65.43,43.46,42.48,68.85,53.27,26.37,20.8,19.84,10.16,1
77.64,74.95,75.44,79.83,74.29,4.39,19.2,4.44,-6.76,1
61.28,58.35,40.28,67.63,59.4,27.34,32,33.07,19.72,1
75.93,73.49,73.97,84.96,78.68,10.99,68.8,19.41,2.7,1
89.6,87.16,88.13,96.68,87.78,8.54,22.4,16.8,5.75,1
71.04,50.05,50.05,74.46,63.82,24.41,25.6,28.17,15.61,1
67.63,50.05,39.55,84.72,72.08,45.17,73.6,36.05,21.03,1
80.08,74.71,74.95,83.01,76.97,8.06,28.8,14.34,3.07,1
73.97,61.52,62.5,76.17,69.85,13.67,41.6,18.3,4.17,1
72.27,69.58,56.15,89.36,76.32,33.2,54.4,8.55,-8.25,0
63.96,62.5,62.5,66.16,63.75,3.66,19.2,13.43,2.49,1
66.16,60.55,60.55,71.53,66.1,10.99,24,26.8,15.66,1
70.56,62.5,62.5,73,67.85,10.5,24,22.33,11.86,1
75.68,74.95,74.95,79.59,76.82,4.64,25.6,12.47,-1.15,1
75.68,72.02,72.02,79.59,75.52,7.57,32,18.18,5.42,1
75.44,69.58,70.56,78.61,73.94,8.06,30.4,18.51,5.26,1
75.93,71.53,71.53,79.1,75.27,7.57,28.8,14.97,0.85,1
60.55,74.22,59.57,75.93,64.67,16.36,25.6,16.89,3.92,1
49.07,45.17,38.82,71.04,52.19,32.23,32,3.73,-13.15,0
34.91,40.77,34.91,47.61,35.64,12.7,20.8,3.05,-10.08,0
68.12,54.2,54.2,74.95,67.2,20.75,49.6,29.93,16.04,1
74.46,71.04,71.78,77.15,71.83,5.37,22.4,15.5,3.26,1
76.42,60.79,61.52,79.83,73.27,18.31,44.8,30.77,16.78,1
78.37,71.04,71.78,82.76,76.81,10.99,30.4,26.64,12.8,1
83.25,77.15,77.64,86.67,80.78,9.03,28.8,14.92,1.16,1
36.13,37.11,36.13,106.2,65.59,70.07,249.6,29.59,11.9,0
63.23,55.91,57.13,66.41,60.97,9.28,27.2,22.58,8.95,1
65.19,59.57,60.55,68.12,62.43,7.57,19.2,18.43,7.25,1
64.21,64.94,44.92,83.98,70.24,39.06,54.4,40.89,29.38,1
65.92,65.43,65.43,67.14,65.54,1.71,19.2,0.24,-10.68,1
73.24,72.27,72.51,74.71,67.92,2.2,16,-1.42,-12.53,1
75.44,74.46,73.97,76.17,74.67,2.2,14.4,-1.66,-11.85,1
42.24,38.09,38.09,67.14,54.63,29.05,49.6,7.85,-8.45,0
37.11,41.75,37.11,85.94,62.6,48.83,35.2,15.35,-3.09,0
52.25,45.65,42.48,102.54,58.76,60.06,97.6,10.94,-5.23,0
62.26,55.91,36.87,79.1,67.7,42.24,35.2,43.33,30.13,1
63.23,59.57,57.37,66.16,61.57,8.79,17.6,27.05,17.63,1
66.89,62.5,63.23,68.12,60.27,4.88,16,9.35,0.92,1
72.27,70.31,70.31,74.22,72.05,3.91,20.8,7.47,-0.13,1
76.17,63.23,63.72,81.54,74.73,17.82,33.6,32.86,19.41,1
54.69,73.97,54.69,77.88,73.03,23.19,25.6,7.54,-3.61,1
77.15,59.33,59.57,79.35,69.06,19.78,41.6,18.03,4.64,1
37.84,64.45,37.84,76.9,60.31,39.06,32,19.9,6.74,1
39.79,37.35,38.09,87.16,52.64,49.07,132.8,16.75,-7.03,0
35.4,60.3,35.4,88.13,65.56,52.73,224,12.69,-8.03,0
72.51,55.91,38.09,109.62,68.66,71.53,51.2,47.11,32.55,1
74.71,62.5,62.74,79.83,73,17.09,32,29.62,17.55,1
69.34,69.34,69.34,72.27,70.01,2.93,25.6,12.66,5.63,1
71.04,68.36,68.36,76.42,72.93,8.06,43.2,21.69,7.9,1
42.72,61.52,42.72,81.54,71.92,38.82,123.2,36.7,23.72,1
75.93,71.04,71.29,78.13,72.68,6.84,33.6,11.79,-0.13,1
64.94,61.52,61.52,69.82,65.34,8.3,32,27.76,15.77,1
71.29,66.16,66.89,78.86,72.77,11.96,24,19.72,8,1
64.45,80.57,64.21,87.4,67.97,23.19,40,12.18,-3.66,1
76.66,74.46,74.71,77.88,71.74,3.17,24,0.44,-9.81,1
38.09,35.16,37.35,87.65,61.26,50.29,206.4,24.38,3.52,0
73.24,59.57,59.81,80.32,71.84,20.51,35.2,25.22,11.94,1
70.56,67.63,68.12,73.24,67.26,5.13,30.4,14.88,5.07,1
77.88,74.95,75.2,79.83,71.99,4.64,20.8,3.51,-5.45,1
78.13,74.46,74.95,80.32,75.27,5.37,25.6,14.08,2.37,1
62.74,60.3,60.3,65.43,62.62,5.13,25.6,13.38,1.72,1
75.68,75.44,75.44,78.61,76.36,3.17,19.2,5.99,-5.72,1
81.3,78.86,79.35,83.01,78.07,3.66,20.8,7.64,-4.32,1
64.7,61.28,61.28,66.89,63.72,5.62,28.8,10.57,-0.98,1
44.68,57.13,40.04,77.39,60.2,37.35,60.8,26.25,13.7,0
83.98,82.03,82.03,86.18,83.45,4.15,16,8.08,-1.66,0
40.53,68.12,40.53,74.46,62.39,33.94,25.6,19.3,7.45,1
69.34,60.55,60.55,73.49,68.81,12.94,27.2,15.18,2.6,1
79.59,73,73.24,81.3,75.26,8.06,28.8,16.41,3.68,1
79.35,66.89,67.63,81.79,71.57,14.16,32,19.89,9.59,1
75.44,73.49,73.24,81.05,76.52,7.81,38.4,22.93,9.15,1
65.19,62.01,62.5,66.89,63.94,4.39,19.2,7.04,-3.86,1
75.93,66.16,66.41,79.83,75.2,13.43,33.6,21.88,7.86,1
67.63,63.96,64.7,69.58,65.19,4.88,25.6,7.27,-4.38,1
42.48,43.7,38.82,90.09,57.76,51.27,208,24.42,0.73,0
58.11,41.02,38.09,63.72,46.23,25.63,52.8,7.36,-10.6,0
38.33,38.57,38.33,57.13,45.67,18.8,57.6,9.91,-7.03,0
76.42,75.44,75.93,77.88,71.42,1.95,16,0.76,-10.68,1
40.77,69.82,34.67,83.74,69.74,49.07,46.4,31.72,13.76,1
44.19,58.59,40.53,73,60.7,32.47,64,40.21,28.36,1
62.5,54.2,36.62,72.51,59.51,35.89,28.8,45.98,35.51,1
62.26,59.57,59.57,67.63,62.66,8.06,24,26.51,17.27,1
63.23,62.26,62.26,65.19,62.81,2.93,12.8,6.4,-0.68,1
42.48,59.08,37.84,80.08,71.12,42.24,35.2,40.46,27.47,1
80.08,71.29,70.56,83.01,76.02,12.45,32,29.63,18.2,1
62.74,65.43,60.55,69.58,64.36,9.03,25.6,24.52,15.38,1
69.09,67.63,67.63,70.56,68.46,2.93,14.4,7.26,-1.76,1
75.93,70.8,70.07,81.05,74.58,10.99,36.8,30.63,16.91,1
75.68,68.85,69.34,77.39,71.93,8.06,25.6,14.26,2.05,1
77.15,68.12,68.85,81.05,74.64,12.21,38.4,32.35,17.71,1
77.39,72.27,72.51,80.81,75.59,8.3,22.4,20.69,8.43,1
78.37,73.24,73.49,80.81,75.75,7.32,25.6,4.47,-9.08,1
75.2,73.97,74.46,78.13,72.47,3.66,17.6,4.25,-6.12,1
53.47,66.16,53.47,70.07,65.08,16.6,22.4,9.9,2.72,1
41.26,40.53,36.13,89.11,61.8,52.98,35.2,21.75,5.39,0
40.28,43.95,40.28,52.25,41.41,11.96,46.4,4.67,-7.04,0
34.67,41.75,34.67,61.28,44.24,26.61,35.2,13.84,-2.25,0
72.02,68.85,68.85,77.39,73.13,8.54,24,18.66,6.09,1
59.33,58.35,58.35,62.26,59.08,3.91,16,10.98,3.72,1
60.55,58.35,58.35,65.92,60.3,7.57,33.6,26.83,15.63,1
61.77,57.13,40.77,77.39,63.33,36.62,52.8,46.57,32.25,1
78.86,78.13,78.13,80.81,78.9,2.69,17.6,4.23,-5.09,1
73.49,73.24,73.24,74.71,73.77,1.46,12.8,3.18,-4.41,1
75.2,71.29,71.78,77.88,73.43,6.1,30.4,19.5,6.5,1
76.9,75.2,75.2,83.5,79.25,8.3,32,18.03,4.31,1
79.59,77.39,77.64,81.3,79.06,3.66,19.2,2.5,-8.72,1
80.81,77.15,77.64,84.72,78.61,7.08,17.6,15.3,4.88,1
76.66,71.78,72.75,80.57,74.91,7.81,43.2,9.68,-3.22,1
72.75,71.78,72.02,74.22,66.97,2.2,16,-0.6,-10.97,1
65.43,66.16,65.43,67.87,52.93,2.44,16,-0.69,-8.61,0
68.36,73.24,66.65,75.68,68.7,9.03,22.4,3.69,-8.73,0
41.02,72.27,41.02,82.76,69.36,41.75,24,1.64,-8.9,0
41.5,34.67,34.67,75.2,48.5,40.53,48,11.51,-5.83,0
72.75,58.59,59.57,76.9,70.32,17.33,35.2,26.11,15.05,1
74.22,71.04,71.04,76.9,73.63,5.86,32,17.99,5.78,1
79.35,75.93,75.93,80.81,78.28,4.88,19.2,4.69,-6.02,1
81.05,77.64,77.64,84.96,78.97,7.32,22.4,22.97,10.9,1
73.97,71.78,71.78,79.1,75.53,7.32,25.6,18.25,5.63,1
64.94,62.01,62.5,66.41,63.71,3.91,24,8.54,-3.57,1
66.89,79.83,35.89,101.81,72.37,65.92,94.4,38.55,23.19,1
77.64,76.42,76.66,79.1,77.49,2.44,27.2,-0.79,-9.98,1
40.77,41.5,35.89,98.39,64.32,62.5,36.8,17.32,0,0
71.29,48.34,34.67,105.71,71.56,71.04,48,13.72,-6.95,0
36.38,40.53,36.38,64.45,46.96,28.08,35.2,4.96,-13.06,0
42.24,38.82,39.79,85.94,57.43,46.14,57.6,8.65,-11.55,0
45.17,35.89,35.89,50.29,38.82,14.4,36.8,5.17,-7.63,0
40.77,37.35,37.84,84.47,59.25,46.63,40,17.92,-4.28,0
39.79,70.8,37.35,91.31,65.62,53.96,76.8,17.92,-0.19,0
34.67,59.81,34.67,76.9,70.19,42.24,33.6,25.23,13.59,1
70.07,57.86,57.86,84.72,72.05,26.86,36.8,21.9,8.93,1
64.7,60.55,60.55,68.12,63.93,7.57,22.4,26.16,17.17,1
67.63,58.35,58.35,69.82,63.77,11.47,28.8,24.39,12.18,1
65.43,62.5,62.99,67.14,59.27,4.15,16,4.95,-5.23,1
70.56,60.55,61.52,72.27,60.48,10.74,17.6,-3.84,-15.11,1
77.64,74.71,73.97,83.74,78.14,9.77,32,25.85,14.54,1
77.15,75.44,75.93,80.81,75.05,4.88,17.6,12.33,2.95,1
72.75,63.23,63.96,81.3,73.9,17.33,30.4,32.58,20.19,1
67.87,58.35,58.35,70.8,66.09,12.45,40,9.87,-6.52,1
43.95,52.25,35.64,90.09,65.06,54.44,32,10.69,-7.31,0
44.19,63.96,44.19,68.36,59.12,24.17,24,-1.43,-16.34,0
41.26,44.92,37.6,58.11,47.6,20.51,153.6,9.51,-7.72,0
42.24,37.84,37.84,61.52,42.56,23.68,89.6,13.57,-3.71,0
47.61,35.64,35.64,53.47,41.19,17.82,44.8,9.69,-4.6,0
71.29,70.56,71.04,82.76,76.75,11.72,56,22.2,6.78,1
62.5,61.77,62.5,64.21,62.61,1.71,27.2,7.67,-4.85,1
70.07,70.07,70.07,72.75,64.68,2.69,20.8,13.95,6.44,1
60.55,59.57,60.55,79.83,72.07,19.29,38.4,31.01,17.81,1
67.63,62.5,39.55,106.69,65.59,67.14,20.8,48.97,37.69,1
74.46,72.02,72.02,76.66,74.12,4.64,35.2,10.43,-1.69,1
70.31,59.81,60.55,75.44,67.77,14.89,41.6,35.61,25.01,1
76.9,74.95,75.44,79.35,73.98,3.91,19.2,9.94,-2.16,1
77.64,73.97,74.46,79.1,73.39,4.64,20.8,6.49,-6.42,1
74.95,68.85,69.34,75.68,70.62,6.35,32,14.45,4.38,1
71.29,68.85,69.09,73.49,68.63,4.39,22.4,3.48,-8.39,1
66.16,64.45,64.94,67.14,65.49,2.2,14.4,-3.62,-13.49,1
73.97,71.29,71.78,76.9,71.14,5.13,17.6,6.08,-4.43,1
82.76,79.83,79.83,86.67,82.53,6.84,16,19.26,12.03,1
83.5,76.66,77.15,88.13,81.58,10.99,28.8,22.6,11.16,1
79.1,77.88,78.13,83.01,78.01,4.88,17.6,16.13,5.63,1
74.95,64.45,64.45,78.37,73.17,13.92,49.6,27.92,11.31,1
75.2,73.49,73.49,78.13,72.17,4.64,25.6,1.41,-8.42,1
80.81,79.35,79.35,84.96,78.49,5.62,28.8,21.86,13.18,1
62.01,60.06,39.06,104.98,71.36,65.92,38.4,46.76,31.74,1
71.04,63.96,64.94,77.64,72.13,12.7,33.6,24.03,9.78,1
68.85,65.43,66.16,73.97,69.28,7.81,28.8,16.14,2.43,1
41.75,48.58,34.67,54.2,39.25,19.53,28.8,9.29,-6.02,0
41.02,50.54,34.67,81.54,56.23,46.88,102.4,15.41,-0.39,1
63.96,60.55,61.52,66.41,60.62,4.88,17.6,20,10.31,1
66.89,58.35,35.89,73.97,63.17,38.09,38.4,43.74,29.3,1
61.77,69.58,37.35,77.64,69.65,40.28,49.6,26.01,12.1,1
74.95,73,73.24,77.88,72.22,4.64,27.2,13.17,3.1,1
79.1,76.9,77.39,85.69,79.46,8.3,25.6,9.58,-3.19,1
65.19,63.96,64.45,66.89,56.67,2.44,8,-8.06,-17.87,1
79.35,74.95,75.44,86.67,80.69,11.23,38.4,22.45,8.91,1
76.66,74.46,74.46,81.3,77.87,6.84,28.8,19.96,6.76,1
77.88,78.13,77.88,81.54,79.19,3.66,16,6.97,-1.47,1
63.23,58.35,59.57,67.87,62.73,8.3,28.8,15.3,3.93,1
77.39,73.97,73.97,79.59,76.47,5.62,20.8,10.04,-0.62,1
76.66,73.97,73.97,79.35,76.36,5.37,27.2,9.9,-2.28,1
79.59,72.27,72.51,83.5,77.9,10.99,32,21.8,8.12,1
79.83,78.13,78.13,82.76,79.96,4.64,19.2,8.13,-2.55,1
74.22,64.94,65.43,78.37,73.6,12.94,60.8,22.25,6.16,1
64.94,66.65,62.01,72.27,67.89,10.25,27.2,13.53,3.7,1
71.78,68.12,68.6,73,68.07,4.39,20.8,3.29,-9.08,1
70.07,68.6,68.6,72.02,69.74,3.42,14.4,1.98,-8.39,1
77.39,72.02,72.02,81.54,77.02,9.52,32,14.55,0.75,1
41.5,48.83,41.02,104.74,69.62,63.72,46.4,29.51,9.61,0
39.31,72.51,35.64,79.83,61.73,44.19,36.8,24.59,6.04,0
40.77,43.7,40.77,75.68,57.29,34.91,54.4,13.07,-3.95,0
41.75,41.26,35.4,83.01,55.62,47.61,108.8,14.36,-7.97,0
39.06,39.55,34.67,86.67,63.32,52,27.2,7.73,-10.69,0
41.99,40.53,40.53,76.9,57.24,36.38,38.4,8.17,-7.53,0
60.55,56.15,53.22,67.14,60.28,13.92,41.6,35.99,21.88,1
71.04,68.36,68.85,73.97,68.38,5.13,36.8,16.11,7.5,1
71.53,59.57,59.57,75.2,68.29,15.63,32,30.32,16.82,1
58.84,45.17,42.48,87.16,69.68,44.68,75.2,35.22,25.4,1
73.24,69.82,42.24,106.45,73.09,64.21,51.2,48.31,32.29,1
77.88,68.85,68.85,79.1,73.29,10.25,38.4,16.28,2.51,1
67.63,55.91,34.67,109.13,72.61,74.46,49.6,59.66,43.93,1
72.27,70.31,69.34,77.64,73.27,8.3,32,31.2,18.76,1
65.43,62.26,62.26,67.63,64.57,5.37,28.8,9.37,-4.59,1
75.68,73.24,73.24,78.61,75.81,5.37,27.2,8.45,-4.76,1
76.66,73.73,73.73,81.3,77.57,7.57,27.2,18.01,5.68,1
59.57,57.13,55.91,67.87,61.89,11.96,51.2,30.3,16.46,1
64.21,62.99,63.23,67.63,64.66,4.39,32,9.93,-3.97,1
35.64,77.88,34.67,82.76,71.7,48.1,19.2,14.97,0.58,1
77.64,74.71,74.95,81.79,78.14,6.84,22.4,13.71,1.77,1
66.16,57.62,58.35,69.34,64.95,10.99,30.4,8.07,-6.35,1
63.23,63.23,63.23,65.92,63.86,2.69,19.2,5.62,-4.67,1
74.95,73.49,73.97,75.68,74.38,1.71,12.8,-2.85,-13.17,1
46.88,58.84,46.88,70.8,58.95,23.93,33.6,15.62,3.11,1
69.34,84.96,62.5,99.12,71.25,36.62,41.6,9.62,-3.57,1
68.12,59.81,63.96,72.02,67.27,8.06,27.2,20.66,7.62,1
69.58,68.85,69.34,73.49,70.07,4.15,35.2,7.96,-7.47,1
86.18,83.74,84.96,88.87,78.32,3.91,17.6,5.3,-5.57,1
61.77,61.77,41.5,87.65,69.08,46.14,54.4,21.39,-0.65,0
66.41,66.16,66.41,72.51,68.58,6.1,41.6,21.79,7.46,1
62.01,50.05,35.16,76.17,62.72,41.02,81.6,34.88,20.13,1
74.95,69.34,70.07,79.35,74.97,9.28,40,14.81,1.69,1
41.99,61.04,35.64,84.23,60.62,48.58,120,30.67,18.53,1
62.99,59.57,59.57,106.2,68.2,46.63,38.4,35.6,23.88,1
63.48,58.35,38.57,71.29,62.94,32.71,46.4,41.64,28.18,1
42.97,57.13,41.26,107.18,68.59,65.92,68.8,57.36,43.16,1
42.72,57.86,41.26,93.75,69.75,52.49,94.4,40.17,28.48,1
74.95,72.75,72.75,76.9,74.54,4.15,16,10.76,1.51,1
74.46,75.44,74.46,77.39,75.36,2.93,16,11.32,1.98,1
77.39,63.96,63.96,79.59,73.05,15.63,27.2,14.83,2.55,1
75.44,105.22,72.51,105.22,67.52,32.71,30.4,6.42,-3.55,1
74.71,64.94,70.31,76.17,71.62,5.86,22.4,13.03,0.55,1
61.52,53.47,41.99,69.82,59.39,27.83,28.8,36.21,23.23,1
77.15,72.75,73.24,80.08,75.18,6.84,28.8,11.87,-2.02,1
73.97,63.96,64.21,75.2,68.57,10.99,27.2,1.27,-13.43,1
73.49,74.95,73.49,79.1,75.75,5.62,27.2,7.92,-3.28,1
70.56,65.43,37.6,85.21,68.03,47.61,49.6,27.95,12.58,1
71.04,65.19,68.85,74.95,69.38,6.1,35.2,12.89,-0.55,1
65.43,45.17,44.43,68.85,62.28,24.41,20.8,4.63,-6.72,0
48.58,48.83,36.38,77.88,54.33,41.5,48,3.25,-14.05,0
74.95,72.75,73,77.64,72.89,4.64,22.4,13.21,1.48,1
68.85,66.89,67.63,72.51,67.08,4.88,54.4,25.31,16.04,1
64.21,57.62,44.43,74.71,66.1,30.27,51.2,37.34,23.18,1
73.49,67.14,43.21,77.88,71.84,34.67,52.8,28.85,20.62,1
79.1,73.73,74.22,80.08,70.13,5.86,25.6,5.49,-3.5,1
63.72,61.04,35.64,104.74,70.29,69.09,40,58.06,43.25,1
72.51,68.85,69.34,74.95,70.68,5.62,24,17.99,4.95,1
72.27,62.5,62.5,74.71,69.17,12.21,25.6,21.52,11.06,1
71.78,70.56,70.56,74.71,72.11,4.15,25.6,16.11,7.56,1
73.24,72.27,72.75,75.2,68.52,2.44,16,7.24,-1.88,1
70.56,57.86,59.57,77.39,70.34,17.82,41.6,37.44,23.41,1
76.42,71.53,72.02,82.28,76.49,10.25,44.8,25.68,12,1
77.15,76.66,76.66,79.59,77.37,2.93,22.4,9.22,-1.81,1
45.65,73.73,45.65,76.42,69.69,30.76,46.4,4.44,-4.91,1
75.93,72.75,73,80.81,75.62,7.81,30.4,16.41,4.18,1
73,58.35,41.75,106.2,72.33,64.45,36.8,39.2,27.82,1
76.17,77.64,76.17,82.52,78.28,6.35,33.6,19.94,7.16,1
81.54,53.71,54.69,87.65,80.46,32.96,41.6,21.84,7.95,1
68.36,66.65,66.65,70.56,67.94,3.91,17.6,-3.42,-15.72,1
71.04,62.5,62.99,74.22,68.67,11.23,33.6,4.16,-11.12,1
69.34,67.87,67.87,73.49,70.77,5.62,32,10.42,-3.84,1
68.6,67.63,68.12,75.2,70.45,7.08,30.4,8.11,-7.04,1
69.09,67.63,67.63,79.59,71.24,11.96,22.4,22.67,9.78,1
42.72,51.27,42.72,76.9,56.64,34.18,25.6,5.29,-8.57,0
51.51,56.4,35.64,86.67,66.23,51.03,40,22.31,9.16,0
37.11,37.6,36.13,90.58,60.52,54.44,358.4,21.92,4.72,0
80.57,86.67,36.62,88.38,74.25,51.76,68.8,9.71,-2.39,0
51.03,35.4,40.04,109.62,74.83,69.58,51.2,25.24,11.08,0
39.31,39.79,38.09,54.44,40.81,16.36,248,21.58,4.67,0
39.31,40.77,34.67,76.9,58.51,42.24,35.2,12.49,-7.04,0
41.02,38.82,41.02,67.87,46.64,26.86,67.2,11.79,-8.06,0
69.34,69.58,69.34,82.52,66.79,13.18,30.4,4.76,-7.51,0
63.23,56.64,42.48,106.69,63.66,64.21,43.2,48.59,35.07,1
71.78,60.55,60.55,75.2,69.51,14.65,36.8,17.96,3.74,1
74.46,65.43,65.43,76.66,70.31,11.23,28.8,11.05,1.66,1
77.64,75.93,75.93,80.32,77.31,4.39,20.8,5.09,-5.66,1
62.99,54.44,54.44,64.7,58.7,10.25,25.6,12.39,-0.45,1
74.46,46.14,72.51,77.39,65.37,4.88,35.2,13.19,4.95,1
75.44,71.78,71.78,77.39,74.12,5.62,27.2,18.43,6.48,1
77.88,75.93,76.66,79.59,71.13,2.93,24,3.09,-6.39,1
77.39,75.68,75.68,78.37,76.93,2.69,22.4,1.44,-7.15,1
63.96,79.83,52.25,98.63,73.92,46.39,62.4,38.5,24.54,1
75.68,69.34,72.75,86.91,79.25,14.16,44.8,28.04,12.72,1
75.93,74.95,75.44,79.59,74.76,4.15,20.8,12.29,1.26,1
67.38,67.14,67.38,69.09,67.58,1.71,14.4,-3.17,-14.37,1
59.57,56.88,41.26,71.78,59.43,30.52,51.2,44.81,28.74,1
79.83,64.94,64.94,86.18,78.65,21.24,36.8,26.26,12.18,1
68.36,60.55,61.52,71.53,65.75,10.01,32,28.51,17.84,1
78.13,76.17,76.66,82.03,78.79,5.37,17.6,9.89,1.03,1
67.14,66.89,66.89,69.09,67.46,2.2,14.4,-2.23,-11.59,1
68.12,65.43,65.67,69.58,62.18,3.91,12.8,-0.81,-9.81,1
69.34,67.63,68.12,71.29,65.4,3.17,16,7.4,-2.02,1
70.31,66.89,67.14,71.29,66.24,4.15,30.4,2.25,-10.97,1
59.33,57.62,58.35,73.24,67.39,14.89,36.8,27.99,12.78,1
35.64,76.17,35.4,82.28,75.05,46.88,35.2,20.29,7.18,1
73,70.56,71.04,76.42,71.99,5.37,22.4,12.77,-0.05,1
72.02,59.57,71.04,76.66,70.02,5.62,33.6,-1.33,-14.35,1
66.16,50.05,50.78,75.2,68.44,24.41,44.8,18.24,5.54,1
36.13,38.57,36.13,104.49,64.88,68.36,153.6,22.01,0.62,0
75.2,76.66,65.67,81.79,73.99,16.11,30.4,3.91,-12.01,0
36.62,39.55,36.62,56.88,44.1,20.26,136,10.21,-5.08,0
57.13,80.57,34.91,85.21,65,50.29,94.4,42.66,27.42,1
74.46,74.46,74.46,80.81,77.35,6.35,25.6,13.55,1.93,1
79.83,75.68,75.68,81.79,78.67,6.1,22.4,7.07,-3.9,1
75.2,76.66,75.2,79.59,73.39,4.39,30.4,4.67,-5.54,1
67.38,65.43,38.33,108.64,71.77,70.31,36.8,44.7,33.23,1
70.07,72.75,47.36,80.08,73.77,32.71,38.4,37.03,25.21,1
72.75,70.56,71.04,77.15,72.74,6.1,80,31.33,15.43,1
61.52,60.55,60.55,65.92,62.28,5.37,28.8,22.16,10.2,1
70.8,69.09,67.63,76.42,71.32,8.79,60.8,41.09,26.53,1
36.38,58.35,36.38,70.56,59.12,34.18,57.6,43.2,31.72,1
72.27,58.11,59.57,77.39,70.39,17.82,33.6,33.88,19.93,1
74.95,72.75,72.75,75.68,68.34,2.93,14.4,4.39,-3.43,1
76.9,75.44,75.93,80.81,75.44,4.88,24,16.49,6.68,1
74.95,72.75,72.75,77.88,75.1,5.13,25.6,17.26,6.06,1
75.93,73.97,74.71,80.57,75.98,5.86,28.8,12.52,-1.3,1
80.08,77.64,77.64,85.69,80.71,8.06,41.6,18.08,5.54,1
82.76,78.86,79.35,86.18,79.62,6.84,17.6,9.73,0.02,1
75.44,73.97,73.97,77.88,75.68,3.91,22.4,9.29,-3.09,1
77.88,75.44,75.93,79.35,73.21,3.42,22.4,-1.88,-14.74,1
66.16,63.96,35.64,107.18,74.17,71.53,46.4,40.43,26.54,1
66.89,65.43,65.43,69.34,66.63,3.91,17.6,0.21,-11.96,1
66.89,64.94,60.55,76.9,67.38,16.36,70.4,31.99,16.24,1
71.78,69.09,69.34,73.97,71.18,4.64,14.4,-1.95,-13.89,1
72.75,71.78,45.65,78.37,70.64,32.71,48,10.9,-0.91,1
68.12,66.89,67.63,72.02,67.68,4.39,24,9.21,-3.63,1
75.93,70.8,70.8,79.1,73.5,8.3,40,17.72,3.77,1
39.31,66.16,37.35,84.96,69.14,47.61,43.2,29.5,16.5,1
